屬性,品種,性別,體型,顏色,年紀,結紮,疫苗,地點,網址
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市板橋區公立動物之家 ,"('<72422>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/50e666e8-8626-4c06-a84d-04d9112b2c50_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72423>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1b6fc446-1356-47c6-9df6-b3296c916d17_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72424>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bbe6a0d6-93ee-488e-8286-7a1552e184ce_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72425>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/86e8de80-8152-4f7b-83f0-4a772923e539_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72426>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/7c28df68-2fe7-427d-a00f-acb3c85c7d72_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黃虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72427>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bb70a320-b8f8-45d2-98b7-03947edb3097_org.jpeg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72428>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b3881960-3eae-4992-a5fa-528cf5e1b452_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72429>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bee3f5ea-5c69-4bf5-8150-0d78c1bbafe8_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72430>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4dfa8a88-2c84-4a69-ac63-ddfef00958b6_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72431>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d21a07e1-9b4d-4f70-8a62-b0f5a78b3a35_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72432>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/39a77256-80b8-472d-8dd0-4ab9c599cfa9_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹縣公立動物收容所 ,"('<72433>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ccc704ed-a938-418c-b8cd-52ce92fbbb19_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：米色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹縣公立動物收容所 ,"('<72434>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/90d9671f-deb4-4f54-a060-0aa80f2a3023_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹縣公立動物收容所 ,"('<72435>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0d921b83-e34f-4a0f-8c23-4393cca4bfe4_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹縣公立動物收容所 ,"('<72436>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/78d2ba2f-d54d-4eac-b0fb-1baa4096eadd_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72437>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/47413e86-668e-41e2-88cb-84eb50410937_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72438>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a5309679-ab39-4b94-990b-3dd38a785dd1_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72439>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/c578efbd-5717-413e-bb8c-73ad76457733_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72440>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4848c8b9-ba9c-4a13-be47-824c43c39d1e_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72441>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/85df5d59-58cf-43bf-a1d9-6ad6e3ab6d2f_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新竹市動物保護教育園區 ,"('<72442>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4a855fec-60ac-4245-a5c5-54239a204e50_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 金門縣動物收容中心 ,"('<72443>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0c47df1b-c6ce-4e08-ae03-1b897ae1208d_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72444>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/8425094b-e0c7-4da5-812f-f566c0c30373_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72445>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/34f4fa68-c35c-4bc5-a8b9-4901ced7080b_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72446>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d8b23dcc-fd4b-415f-a796-28398d09e54f_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新竹市動物保護教育園區 ,"('<72447>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/6b990723-8bdd-4fd1-a618-497366585754_org.JPG')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市淡水區公立動物之家 ,"('<72448>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d22e7aef-8668-46ac-ac1c-36a0052149b3_org.JPG')"
屬性: 狗,品種：米格魯,性別： 母,體型： MEDIUM,顏色：三花色,年紀：成年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72449>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4d3bc0cd-f049-4a57-b665-d8780a2ef76d_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72450>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d2aef69b-d474-4a74-80a8-2899708cb0a4_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72451>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1e77f278-8a27-48e5-92b0-64daba70e440_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃白色,年紀：成年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺北市動物之家 ,"('<72452>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/3f0d2104-2dd5-4c78-96f5-a7fc14696a76_org.jpg')"
屬性: 狗,品種：博美,性別： 母,體型： MEDIUM,顏色：棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72453>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d4737987-19e9-40c8-b79b-4904286e8f33_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72454>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/7812e95b-ecc5-4d9b-95de-cc616d44c8b0_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72455>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/6ac29b6c-237c-468e-b93e-41b0305843e1_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72456>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/787559b5-778f-4995-a727-c26a132a54a4_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72457>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/e38cd41c-0cdd-439a-9c06-1dc32c7dd500_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72458>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b80a96a5-a46b-4925-a1a8-4bf5aed0804a_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市燕巢動物保護關愛園區 ,"('<72459>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/54d60b16-ab9c-413e-8fac-9b2abca477d3_org.JPG')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72460>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b8053a70-ef1f-49e9-8044-feb109930e07_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72461>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/79bbc51b-aa4e-4f8b-86c2-36cf5c1e29b8_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72462>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1cacc2d3-2ce2-423e-87c6-09ef5f934589_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 臺南市動物之家善化站 ,"('<72463>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/cd253582-e947-4946-ab65-1bd8488f4e2f_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72464>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b6eecd6b-adec-43e2-821d-a517aa4e8094_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新北市八里區公立動物之家 ,"('<72465>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/cbcc90f5-6222-4c70-adad-626b357e866a_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72466>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b5fb8c8f-d746-4790-a01e-debe61af536a_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72467>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1fe1faa2-38a7-4a90-9529-e11671377400_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72468>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/3a2c465b-8974-4684-8386-6ca2a8dadb25_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 彰化縣流浪狗中途之家 ,"('<72469>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/35dccdb1-9ebf-4f49-a07f-23d03a64e4f7_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市新店區公立動物之家 ,"('<72470>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/fca97450-9c8d-458d-a189-c2db71d9268b_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：白色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 基隆市寵物銀行 ,"('<72471>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/14aabf69-c41b-40c7-b85c-584c8506f0b9_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72472>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/33543106-5f9a-4f44-91ca-de22f5b7d35c_org.jpeg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黃色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72473>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/18950eb2-2079-4a4c-bb46-ff5b3f11b1d1_org.jpeg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黃色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 澎湖縣流浪動物收容中心 ,"('<72474>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/fe3d5876-eac4-4beb-8446-0a9452f3bd83_org.jpeg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 澎湖縣流浪動物收容中心 ,"('<72475>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/30ce6fff-b7f6-43a6-95db-44bfdc5a5158_org.jpeg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72476>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/2dfd5446-62f4-410a-8641-91e0965814a6_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：白色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 宜蘭縣流浪動物中途之家 ,"('<72477>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ef834530-ec64-47e8-b990-e64057690208_org.jpg')"
